Date,Present,Late,Absent,Attendance_Percentage
2026-08-03,17,2,0,95.0
2026-08-04,17,2,1,95.0
2026-08-05,17,0,2,85.0
2026-08-06,15,4,1,95.0
2026-08-07,14,3,3,85.0
2026-08-10,17,1,2,90.0
2026-08-11,16,2,2,90.0
2026-08-12,16,3,1,95.0
2026-08-13,15,4,1,95.0
2026-08-14,17,2,1,95.0
2026-08-17,17,2,1,95.0
2026-08-18,18,0,2,90.0
2026-08-19,15,3,2,90.0
2026-08-20,16,3,1,95.0
2026-08-21,15,2,3,85.0
2026-08-24,17,1,2,90.0
2026-08-25,16,1,3,85.0
2026-08-26,18,1,1,95.0
2026-08-27,18,1,1,95.0
2026-08-28,17,3,0,100.0
